Year,Rank,Movie Name,MovieURL,Gross,Theaters,Total Gross,Release Date
2023,174,Creation of the Gods I: Kingdom of Storms,https://www.boxofficemojo.com/release/rl1487569665/?ref_=bo_yld_table_174,,,"$1,686,246",115
2023,175,American Fiction,https://www.boxofficemojo.com/release/rl2073330433/?ref_=bo_yld_table_175,,,"$1,655,483","1,902"
2023,176,The Retirement Plan,https://www.boxofficemojo.com/release/rl4267671553/?ref_=bo_yld_table_176,,,"$1,607,344","1,175"
2023,177,Polite Society,https://www.boxofficemojo.com/release/rl1407615745/?ref_=bo_yld_table_177,,,"$1,595,585",927
2023,178,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,https://www.boxofficemojo.com/release/rl3522724609/?ref_=bo_yld_table_178,,,"$1,588,491","1,473"
2023,179,The Banshees of Inisherin,https://www.boxofficemojo.com/release/rl925926145/?ref_=bo_yld_table_179,,,"$1,555,301","1,205"
2023,180,The Quiet Girl,https://www.boxofficemojo.com/release/rl3213067009/?ref_=bo_yld_table_180,,,"$1,500,014",244
2023,181,BlackBerry,https://www.boxofficemojo.com/release/rl3388965633/?ref_=bo_yld_table_181,,,"$1,476,598",449
2023,182,"Spirited Away
2023 Re-release (Live on Stage)",https://www.boxofficemojo.com/release/rl284984065/?ref_=bo_yld_table_182,,,"$1,455,081","1,046"
2023,183,Dicks: The Musical,https://www.boxofficemojo.com/release/rl1084523265/?ref_=bo_yld_table_183,,,"$1,453,012",635
2023,184,Eileen,https://www.boxofficemojo.com/release/rl893747201/?ref_=bo_yld_table_184,,,"$1,425,273",558
2023,185,Maybe I Do,https://www.boxofficemojo.com/release/rl1240236801/?ref_=bo_yld_table_185,,,"$1,293,722",465
2023,186,The First Slam Dunk,https://www.boxofficemojo.com/release/rl1587315457/?ref_=bo_yld_table_186,,,"$1,291,869",581
2023,187,Billie Eilish Live at the O2 (Extended Cut),https://www.boxofficemojo.com/release/rl2331673345/?ref_=bo_yld_table_187,,,"$1,290,000",600
2023,188,The Big Lebowski,https://www.boxofficemojo.com/release/rl239568385/?ref_=bo_yld_table_188,,,"$1,266,945","1,235"
2023,189,Back to the Future,https://www.boxofficemojo.com/release/rl2974385665/?ref_=bo_yld_table_189,,,"$1,240,710","1,550"
2023,190,Tár,https://www.boxofficemojo.com/release/rl605979393/?ref_=bo_yld_table_190,,,"$1,193,875","1,090"
2023,191,The Lost King,https://www.boxofficemojo.com/release/rl2749203201/?ref_=bo_yld_table_191,,,"$1,189,307",753
2023,192,"The Lord of the Rings: The Return of the King
2023 Re-release (20th Anniversary)",https://www.boxofficemojo.com/release/rl3984687873/?ref_=bo_yld_table_192,,,"$1,176,085","1,107"
2023,193,Camp Hideout,https://www.boxofficemojo.com/release/rl530678529/?ref_=bo_yld_table_193,,,"$1,125,010",848
2023,194,Strange World,https://www.boxofficemojo.com/release/rl3422914049/?ref_=bo_yld_table_194,,,"$1,120,039","4,174"
2023,195,Close,https://www.boxofficemojo.com/release/rl2079163137/?ref_=bo_yld_table_195,,,"$1,100,113",233
2023,196,Emily,https://www.boxofficemojo.com/release/rl2666693377/?ref_=bo_yld_table_196,,,"$1,097,067",579
2023,197,Knights of the Zodiac,https://www.boxofficemojo.com/release/rl4203184897/?ref_=bo_yld_table_197,,,"$1,090,155",588
2023,198,Broker,https://www.boxofficemojo.com/release/rl586646273/?ref_=bo_yld_table_198,,,"$1,001,892",271
2023,199,Showing Up,https://www.boxofficemojo.com/release/rl956203777/?ref_=bo_yld_table_199,,,"$972,074",115
2023,200,Inside,https://www.boxofficemojo.com/release/rl132023041/?ref_=bo_yld_table_200,,,"$918,415",357
2024,1,Inside Out 2,https://www.boxofficemojo.com/release/rl3638199041/?ref_=bo_yld_table_1,,,"$652,980,194","4,440"
2024,2,Deadpool & Wolverine,https://www.boxofficemojo.com/release/rl4108092161/?ref_=bo_yld_table_2,,,"$636,745,858","4,330"
2024,3,Wicked,https://www.boxofficemojo.com/release/rl1199474177/?ref_=bo_yld_table_3,,,"$432,943,285","3,888"
2024,4,Moana 2,https://www.boxofficemojo.com/release/rl862748673/?ref_=bo_yld_table_4,,,"$404,017,489","4,200"
2024,5,Despicable Me 4,https://www.boxofficemojo.com/release/rl2603516673/?ref_=bo_yld_table_5,,,"$361,004,205","4,449"
